id,name,rating,total_reviews,price_level,categories,address,lat,lng,reviews,sentiment_score,place_url,dietary_options,popular_dishes,peak_hours
23,Pizza Heaven,4.4,250,150-300,Italian|Pizza,"123 7th Ave, New York, NY",40.7331,-73.9932,Amazing NY style pizza|Quick delivery,0.85,https://example.com/pizza-heaven,Veg|Non-veg,,
11,Pasta Paradise,4,160,75-150,Italian|Pasta,"753 10th Ave, New York, NY",40.7651,-73.9922,Amazing pasta|Great wine selection,0.75,https://example.com/pasta-paradise,Veg|Non-veg,,
19,BBQ Heaven,4.5,220,200-400,American|BBQ,"321 8th Ave, New York, NY",40.7478,-73.9959,Amazing ribs|Great sauce,0.88,https://example.com/bbq-heaven,Veg|Non-veg,,
20,Dim Sum Palace,3.9,180,75-150,Chinese|Dim Sum,"432 Elizabeth St, New York, NY",40.7192,-73.997,Authentic dim sum|Great variety,0.79,https://example.com/dim-sum-palace,Veg|Non-veg,,
4,Beijing Palace,4.6,200,150-300,Chinese|Asian,"321 Canal St, New York, NY",40.7479,-74.0048,Authentic dishes|Large portions,0.85,https://example.com/beijing-palace,Veg|Non-veg,,
14,Mumbai Masala,4.9,140,300-600,Indian|Curry,"357 E 6th St, New York, NY",40.7265,-73.9836,Authentic Indian|Great butter chicken,0.8,https://example.com/mumbai-masala,Veg|Non-veg,,
21,Ramen House,4.6,165,100-200,Japanese|Ramen,"654 2nd Ave, New York, NY",40.7429,-73.9784,Authentic ramen|Great broth,0.83,https://example.com/ramen-house,Veg|Non-veg,,
28,Taco Heaven,4.2,170,50-100,Mexican|Tacos,"987 10th Ave, New York, NY",40.7612,-73.9927,Authentic tacos|Great salsa,0.78,https://example.com/taco-heaven,Veg|Non-veg,,
10,Thai Spice,4.8,140,300-600,Thai|Asian,"159 2nd Ave, New York, NY",40.7302,-73.9875,Authentic Thai|Nice atmosphere,0.85,https://example.com/thai-spice,Veg|Non-veg,,
22,Falafel King,3.8,140,50-100,Middle Eastern|Vegetarian,"789 3rd Ave, New York, NY",40.7512,-73.9725,Best falafel|Fresh ingredients,0.76,https://example.com/falafel-king,Veg|Vegan,,
